Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ALLTEX        10.20    10.30    10.00    10.10   0.00    108       168429        1.696
AZIZPIPES     68.60    69.00    68.60    68.80  -0.43     62         9685        0.666
BANGAS       120.90   120.90   118.00   118.30  -1.99    107        13108        1.557
BDAUTOCA      84.00    84.00    74.00    75.40  -7.94    203        24389        1.907
BDWELDING     10.50    10.70    10.30    10.50  -0.94     88       148780        1.557
BEACHHATCH    10.60    10.70    10.30    10.40  -2.80    108       164090        1.724
BEACONPHAR    21.30    21.30    20.90    21.00  -0.47    341       532426       11.181
BIFC           9.00     9.80     9.00     9.40   3.30     77        57898        0.546
BXSYNTH        7.10     7.20     7.00     7.20   1.41     48        73762        0.527
DACCADYE       7.40     7.50     7.30     7.50   1.35    107       166420        1.235
DESHBANDHU    10.70    11.50    10.70    11.40   8.57    419       872808        9.885
DULAMIACOT     7.60     7.60     7.60     7.60   2.70      1            1        0.000
FINEFOODS     21.20    23.00    21.00    22.10  -5.15    122        64736        1.441
FIRSTFIN       9.20     9.60     9.00     9.20   1.10     68       131215        1.211
ICBIBANK       4.00     4.10     3.90     4.00   0.00     82       265540        1.057
IMAMBUTTON    13.10    13.10    12.70    12.80  -2.29     31        33291        0.427
ISNLTD        13.40    13.40    13.00    13.20   3.12     16         6283        0.083
JUTESPINN     52.50    52.50    52.40    52.40  -7.58      7          960        0.050
KAY&QUE       31.90    32.00    30.00    31.90   2.90     36         5850        0.186
KPPL           8.10     8.30     8.10     8.30   2.47    130       215239        1.769
LEGACYFOOT    20.60    21.00    20.00    20.10  -2.90    105        50906        1.042
MAKSONSPIN     7.60     7.90     7.60     7.70   0.00    174       668444        5.159
MEGCONMILK     9.10     9.10     8.70     8.80   2.33     92        70952        0.629
MEGHNAPET      6.60     6.80     6.50     6.60  -1.49     35        32520        0.216
METROSPIN      7.20     7.30     7.00     7.10   0.00     48        88042        0.632
MIDASFIN      22.00    22.90    22.00    22.40   1.82    207       273231        6.136
MODERNDYE    180.00   180.00   170.00   170.60  -6.32     81         2414        0.416
PADMALIFE     27.90    28.00    26.30    27.00  -3.23     35        12493        0.338
PLFSL          8.30     8.30     8.10     8.20   0.00    132       211540        1.731
PRAGATILIF   105.00   105.00   103.20   104.40  -2.61     39        12106        1.267
PRIMEFIN       9.00     9.20     9.00     9.00   1.12     81       130190        1.177
PROGRESLIF    53.70    53.70    53.70    53.70   0.00      1           10        0.001
RAHIMAFOOD   144.00   146.80   140.20   140.50  -2.02    420        46637        6.701
RNSPIN        21.90    22.10    21.30    21.80  -0.46    361       464990       10.112
SAMATALETH    25.50    25.50    25.50    25.50  -3.41      1           55        0.001
SHURWID       10.50    10.80    10.50    10.60   0.95     91       111812        1.185
SHYAMPSUG     20.90    21.00    19.50    20.90   8.85    139        48216        0.989
SINOBANGLA    30.50    30.50    29.00    29.90   2.40    106        64027        1.891
SONARGAON      9.80     9.90     9.80     9.80   0.00     56        36199        0.356
SPCERAMICS     9.40     9.50     9.30     9.40   1.08    106       104723        0.983
SUNLIFEINS    20.60    20.80    20.10    20.60   0.98     65        26986        0.551
TALLUSPIN      9.10     9.30     9.00     9.20   2.22     65       119834        1.096
UNITEDAIR      5.00     5.00     4.80     4.90   0.00    502      2304984       11.346
WMSHIPYARD    30.00    30.00    28.90    29.20  -2.67    501       536489       15.755
ZEALBANGLA    35.90    35.90    35.90    35.90   9.79     38        19076        0.685
                                                      ------    ---------    ---------
                                                        5642      8391786      109.101

Z Group (Equity) scrips traded in Public Market   =   45



MUTUAL FUNDs
------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

1JANATAMF      5.10     5.20     5.10     5.20   1.96     61       409041        2.119
1STPRIMFMF     9.30     9.40     9.20     9.30   2.20     94       276383        2.578
ABB1STMF       5.20     5.30     5.10     5.20   0.00     33       605700        3.157
AIBL1STIMF     7.80     8.00     7.80     7.80   0.00      6        33179        0.259
ATCSLGF       10.00    10.30    10.00    10.20   0.00     35        16830        0.172
DBH1STMF       7.00     7.30     7.00     7.30   4.29     25       103734        0.751
EBL1STMF       5.20     5.50     5.20     5.40   3.85     70       519432        2.772
EBLNRBMF       5.50     5.70     5.30     5.50   1.85     44       396350        2.201
EXIM1STMF      7.90     8.00     7.80     7.80  -1.27    159       556489        4.365
FBFIF          5.70     5.80     5.70     5.70  -1.72     50       241872        1.380
GRAMEENS2     11.10    11.30    11.10    11.20   0.90     78       305337        3.424
GREENDELMF     7.00     7.20     7.00     7.20   4.35     25       109846        0.787
ICB1STNRB     18.70    19.00    18.70    18.80   1.08     51        84139        1.583
ICB2NDNRB      7.80     8.00     7.80     7.80  -1.27     13        82000        0.642
ICB3RDNRB      4.80     4.80     4.70     4.70   0.00     31       108073        0.508
ICBAMCL2ND     5.30     5.40     5.30     5.40   0.00     14        32000        0.172
ICBEPMF1S1     5.90     6.00     5.90     6.00   0.00     23        50000        0.298
ICBSONALI1     6.10     6.10     6.00     6.10   1.67     11       143358        0.874
IFIC1STMF      5.00     5.00     4.90     4.90   0.00     10        74264        0.364
IFILISLMF1     6.80     6.90     6.80     6.80   0.00     20        72450        0.494
LRGLOBMF1      6.70     6.70     6.60     6.70   0.00      9        26730        0.178
MBL1STMF       7.10     7.10     7.00     7.00  -1.41      9       126000        0.882
NCCBLMF1       7.00     7.10     6.90     7.00   1.45     21       322200        2.254
NLI1STMF      12.60    12.60    12.30    12.50  -1.57     20        78910        0.987
PF1STMF        4.90     4.90     4.80     4.90   2.08     45       159485        0.781
PHPMF1         4.70     4.70     4.60     4.70   0.00     61       426832        2.003
