Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

RANFOUNDRY   108.00   111.40   108.00   110.40   2.03    466       163571       17.992
RDFOOD        17.80    18.40    17.50    18.20   2.25    872      1301191       23.419
RECKITTBEN  1520.00  1525.00  1520.00  1523.30  -1.72     17          129        0.197
RENATA      1081.10  1098.10  1081.10  1087.20   0.55    220         8483        9.222
RENWICKJA    645.00   688.00   631.00   646.30   0.86    272         5464        3.612
REPUBLIC      23.20    23.60    23.20    23.40   0.00    200       290456        6.818
RSRMSTEEL     69.60    70.00    67.00    67.80  -0.73   1286      1331509       90.896
RUPALIBANK    25.80    25.90    25.60    25.60  -1.16     39        24280        0.624
RUPALIINS     18.00    18.20    17.90    18.00   1.12    108       132028        2.382
RUPALILIFE    36.20    36.30    35.60    35.70  -1.38    196       118720        4.262
SAIFPOWER     52.20    52.80    51.20    51.50  -1.15   1251      1189686       61.642
SAIHAMCOT     14.80    15.50    14.60    15.40   5.48    482      1439172       21.758
SAIHAMTEX     14.70    15.10    14.50    14.90   2.05    203       425669        6.313
SALAMCRST     39.00    39.50    37.80    38.40   0.52    847       762474       29.427
SAMORITA      67.80    69.50    66.60    67.70   0.15    135        46128        3.112
SANDHANINS    32.50    32.70    32.00    32.30  -0.31    373       308729       10.024
SAPORTL       51.00    51.90    49.30    51.30   2.40   3064      3410345      172.636
SHAHJABANK    14.50    14.50    14.20    14.30   0.00    132       414888        5.943
SHASHADNIM    71.80    75.50    71.80    74.80   4.91   2409      2253437      166.611
SIBL          17.10    17.20    16.90    17.10   0.00    173       420803        7.174
SIMTEX        20.90    21.20    20.80    20.90  -1.42     71        74916        1.568
SINGERBD     186.00   186.50   184.10   185.30  -0.32    334       144916       26.821
SONALIANSH   184.80   187.30   184.10   185.40   1.48    160        14264        2.654
SONARBAINS    16.80    16.90    16.70    16.80  -0.59     21        25263        0.424
SOUTHEASTB    17.60    17.80    17.50    17.60   0.00    143       352224        6.209
SPCL         139.40   140.20   138.10   138.60  -0.72    342        96346       13.394
SQUARETEXT    69.80    70.00    69.40    69.70  -0.57     58        26311        1.834
SQURPHARMA   246.30   248.20   246.00   247.50   0.57   1489      1137039      280.518
STANCERAM     53.10    53.50    52.00    52.50  -1.50    144        34830        1.838
STANDARINS    18.50    18.50    18.10    18.20  -3.19     12         2992        0.054
STANDBANKL    11.50    11.50    11.30    11.50   0.00    200      1693023       19.329
STYLECRAFT  1455.00  1487.00  1431.50  1431.70  -0.95     90         1232        1.789
SUMITPOWER    37.40    37.60    36.40    36.50  -2.14    589       780192       28.658
TAKAFULINS    17.60    18.00    17.50    17.70  -1.67     20        21198        0.376
TITASGAS      47.00    47.30    46.60    46.70  -0.85    426       725898       34.013
TOSRIFA       18.90    19.00    18.40    18.60  -1.06    215       327612        6.099
TRUSTBANK     23.40    23.40    23.20    23.30   0.43    129       523641       12.209
TUNGHAI       11.10    11.20    10.80    10.90  -0.91    296      1145845       12.504
UCB           20.30    21.00    20.10    20.30   0.50    601      3236968       65.755
UNIONCAP      17.50    17.70    16.90    17.00  -1.73    616      1649448       28.457
UNIQUEHRL     46.80    47.10    45.90    46.10  -0.86    912       837429       38.897
UNITEDFIN     22.40    22.60    22.00    22.20  -0.45    212       654975       14.585
UNITEDINS     25.30    25.30    25.20    25.30  -2.32     22        14980        0.379
UPGDCL       140.10   141.00   139.60   140.00   0.00    359       132324       18.544
USMANIAGL     85.60    87.50    85.20    86.00   0.47     89        12637        1.090
UTTARABANK    24.30    24.60    24.00    24.50   0.41    199       254737        6.151
UTTARAFIN     60.80    60.80    59.00    59.20  -1.66    238       163082        9.703
WATACHEM     162.00   175.00   161.00   173.90   7.48    738       128694       21.829
ZAHEENSPIN    17.00    17.10    16.60    16.70  -0.60    350       638481       10.722
ZAHINTEX      17.10    17.20    17.00    17.10   0.00     82       171581        2.936
                                                      ------    ---------    ---------
                                                      125359    204798637     6779.400

A Group (Equity) scrips traded in Public Market   =  227



B Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ANWARGALV     71.60    71.60    69.10    69.50  -1.56    309       102749        7.196
DELTASPINN     9.20     9.20     9.00     9.00  -1.10    272       931477        8.465
FEDERALINS    13.00    13.00    12.70    12.80   0.00    230       444993        5.713
HAKKANIPUL    49.00    49.90    48.50    48.80  -0.20    303        95532        4.684
ILFSL         11.20    11.40    11.00    11.10  -0.89    134       247547        2.754
JANATAINS     13.10    13.10    12.70    12.80  -2.29     35        72065        0.928
