Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

PROGRESLIF    51.10    52.80    51.10    51.70  -3.72     21         8000        0.414
RAHIMAFOOD   141.20   141.20   131.30   134.50  -4.27    393        37608        5.104
RNSPIN        22.00    22.20    21.70    21.80   0.00    361       661097       14.444
SAMATALETH    25.70    25.70    25.70    25.70   0.78      1          496        0.013
SHURWID       10.60    10.90    10.50    10.50  -0.94    125       184985        1.969
SHYAMPSUG     21.30    21.30    19.10    19.40  -7.18     98        41504        0.823
SINOBANGLA    30.10    30.60    29.00    29.10  -2.68    113       125250        3.736
SONARGAON      9.70     9.80     9.60     9.70  -1.02     40        20610        0.199
SPCERAMICS     9.60     9.60     9.40     9.50   1.06     72        79541        0.756
SUNLIFEINS    20.80    20.90    20.10    20.30  -1.46     41        15316        0.313
TALLUSPIN      9.20     9.20     9.00     9.10  -1.09    117       152498        1.389
UNITEDAIR      5.00     5.00     4.90     4.90   0.00    452      2569680       12.698
WMSHIPYARD    29.30    31.30    29.30    30.80   5.48    429       558493       16.965
ZEALBANGLA    39.40    39.40    34.90    36.20   0.84    313       116538        4.485
                                                      ------    ---------    ---------
                                                        5813      8693573      112.530

Z Group (Equity) scrips traded in Public Market   =   45



MUTUAL FUNDs
------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

1JANATAMF      5.20     5.20     5.10     5.10  -1.92     73       350574        1.809
1STPRIMFMF     9.30     9.50     9.20     9.40   1.08    126       480390        4.513
ABB1STMF       5.20     5.30     5.10     5.20   0.00     33       345352        1.796
AIBL1STIMF     7.90     7.90     7.90     7.90   1.28      4         6500        0.051
ATCSLGF       10.00    10.30    10.00    10.30   0.98      7         3236        0.033
DBH1STMF       7.10     7.20     7.10     7.10  -2.74      8        17571        0.125
EBL1STMF       5.30     5.60     5.30     5.40   0.00     77       405459        2.198
EBLNRBMF       5.60     5.90     5.30     5.50   0.00    116       858881        4.760
EXIM1STMF      7.80     7.90     7.50     7.60  -2.56     87       319453        2.456
FBFIF          5.70     5.80     5.70     5.80   1.75     39       212072        1.226
GRAMEENS2     11.20    11.30    11.10    11.20   0.00    110       569964        6.383
GREENDELMF     7.00     7.20     7.00     7.10  -1.39     23        62974        0.448
ICB1STNRB     18.70    18.90    18.70    18.80   0.00     32        38400        0.721
ICB2NDNRB      8.00     8.00     7.90     7.90   1.28      7         9400        0.075
ICB3RDNRB      4.70     4.80     4.70     4.70   0.00     50       264607        1.244
ICBAMCL2ND     5.30     5.30     5.30     5.30  -1.85     13        42600        0.226
ICBEPMF1S1     6.00     6.20     6.00     6.10   1.67     25        40930        0.248
ICBSONALI1     6.10     6.20     6.10     6.10   0.00     15        22100        0.135
IFIC1STMF      5.00     5.00     4.90     5.00   2.04     20       101041        0.504
IFILISLMF1     6.90     6.90     6.70     6.80   0.00     41       646905        4.414
LRGLOBMF1      6.60     6.70     6.60     6.70   0.00     11        43510        0.289
MBL1STMF       6.90     7.00     6.90     7.00   0.00     18       238350        1.667
NCCBLMF1       7.00     7.10     6.90     7.00   0.00     14       346000        2.419
NLI1STMF      12.50    12.50    12.50    12.50   0.00      7       153000        1.913
PF1STMF        4.80     4.90     4.80     4.90   0.00     28       716459        3.505
PHPMF1         4.70     4.70     4.60     4.60  -2.13     79       486702        2.276
POPULAR1MF     4.70     4.70     4.60     4.60  -2.13     91      1262591        5.876
PRIME1ICBA     5.10     5.20     5.10     5.10  -1.92     12        11810        0.061
RELIANCE1      8.30     8.70     8.30     8.30   2.47     18        78825        0.654
SEBL1STMF     11.90    11.90    11.60    11.80  -0.84     10        88545        1.047
SEMLLECMF     10.20    10.20     9.60     9.70  -2.02      8         3470        0.034
TRUSTB1MF      5.20     5.20     5.10     5.10  -1.92     43       339266        1.737
VAMLRBBF       8.40     8.50     8.30     8.50   1.19     69        47573        0.401
                                                      ------    ---------    ---------
                                                        1314      8614510       55.243

MUTUAL FUNDs traded in Public Market              =   33



CORPORATE BONDs
---------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

IBBLPBOND    985.00   990.00   982.50   989.50  -0.05      7          133        0.132
                                                      ------    ---------    ---------
                                                           7          133        0.132

