Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

RSRMSTEEL     46.40    49.10    46.30    47.90   3.90   2376      3189720      152.731
RUPALIBANK    26.00    27.40    25.90    26.80   3.47    153        88482        2.362
RUPALIINS     17.30    17.70    17.30    17.40   0.58    101       219324        3.845
RUPALILIFE    36.40    37.40    36.40    36.60   2.23    562       539437       19.922
SAFKOSPINN    11.60    11.60    11.20    11.30  -1.74     84        89759        1.019
SAIFPOWER     49.30    49.70    47.90    48.50 -19.97   1868      2059094       99.841
SALAMCRST     27.30    28.10    27.20    27.70   1.84    520       635420       17.701
SALVOCHEM     13.40    13.50    13.00    13.40   0.00    654      1735422       23.109
SAMORITA      62.10    63.40    61.80    62.80   1.45    190        37200        2.332
SANDHANINS    29.60    30.60    29.50    30.30   3.77    285       190480        5.731
SAPORTL       39.40    39.80    38.80    39.50   1.28    541       475651       18.662
SHAHJABANK    13.80    14.00    13.70    13.90   1.46    178       963844       13.351
SHASHADNIM    63.30    63.30    58.50    61.70  -2.06   2514      2612912      158.637
SIBL          16.60    17.30    16.60    16.90   0.60    611      4283063       73.105
SINGERBD     183.00   183.80   181.40   182.30  -0.33    633       176875       32.297
SONALIANSH   193.80   204.00   192.30   193.30  -0.05    256        26311        5.170
SONARBAINS    14.90    15.40    14.90    15.20  -0.65     76       200444        3.048
SOUTHEASTB    17.00    17.50    17.00    17.50   2.94    279      1100613       19.034
SPCL         150.00   151.90   148.00   148.70  -0.67    925       272150       40.664
SQUARETEXT    65.20    66.00    65.20    65.30  -0.76    119        56502        3.695
SQURPHARMA   248.00   248.10   246.00   246.60  -0.44   1735       585221      144.737
STANDARINS    17.60    18.50    17.10    17.50  -2.78      9         5124        0.090
STANDBANKL    10.10    10.60    10.10    10.30   3.00    300      1241185       12.893
STYLECRAFT  1620.00  1644.90  1581.00  1612.50   0.19    148         1737        2.793
SUMITPOWER    34.00    34.80    34.00    34.50   1.77   1070      1816769       62.716
TAKAFULINS    17.70    18.40    17.70    18.30   0.55     30        55212        1.007
TOSRIFA       17.90    18.40    17.40    17.50  -1.69    210       202758        3.578
TRUSTBANK     23.10    23.90    23.10    23.50   1.73    389      1855798       43.784
TUNGHAI       10.80    11.00    10.60    10.70   0.00    167       443200        4.764
UCB           19.00    19.50    18.90    19.30   1.58    606      2656535       51.236
UNIONCAP      12.60    13.20    12.60    13.00   3.17    536      1862141       24.188
UNIQUEHRL     39.00    40.10    39.00    40.00   3.09    382       214594        8.512
UNITEDFIN     20.20    21.00    20.20    20.50   1.49    248       478420        9.827
UNITEDINS     24.90    25.50    24.50    25.20   2.86     16        13268        0.334
UPGDCL       143.60   143.60   141.60   142.10   0.21    487       189817       26.957
USMANIAGL     90.50    93.00    90.50    91.80   0.88    123        17642        1.618
UTTARABANK    23.50    24.00    23.50    23.80   0.00    152       261893        6.254
UTTARAFIN     58.00    59.40    57.60    58.30  -0.17    301       174116       10.179
WATACHEM     156.30   164.30   156.30   161.80   3.59    609        81798       13.176
ZAHEENSPIN    15.10    15.30    14.90    15.10   0.00    289       320865        4.840
ZAHINTEX      15.30    15.40    15.20    15.30   0.00     96       179300        2.742
                                                      ------    ---------    ---------
                                                      101439    163325323     5232.314

A Group (Equity) scrips traded in Public Market   =  190



B Group (Equity)
----------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ANWARGALV     68.50    73.00    68.50    72.50   6.77   1040       290432       20.823
FEDERALINS    10.50    10.50    10.10    10.10  -2.88    150       283684        2.914
