Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ABB1STMF       5.10     5.30     5.10     5.20   0.00     27       222533        1.159
AIBL1STIMF     7.90     7.90     7.80     7.80  -1.27      5        30000        0.234
ATCSLGF       10.00    10.30    10.00    10.20   0.00     14        10608        0.108
DBH1STMF       7.00     7.10     7.00     7.00  -1.41     15        29783        0.210
EBL1STMF       5.30     5.40     5.20     5.20  -1.89     43       179431        0.947
EBLNRBMF       5.20     5.50     5.10     5.40   1.89     63       824008        4.299
EXIM1STMF      8.00     8.50     7.70     7.90   0.00    172       587285        4.692
FBFIF          5.70     5.80     5.70     5.80   1.75     62       243341        1.411
GRAMEENS2     11.20    11.30    11.10    11.10  -0.89     99       613860        6.868
GREENDELMF     6.90     7.00     6.90     6.90  -1.43     11        99000        0.684
ICB1STNRB     18.60    18.80    18.50    18.60   0.00     13        16658        0.310
ICB2NDNRB      7.80     8.00     7.80     7.90   0.00      9        30638        0.242
ICB3RDNRB      4.70     4.70     4.60     4.70   0.00     30       107500        0.505
ICBAMCL2ND     5.30     5.40     5.30     5.40   0.00     21        89462        0.482
ICBEPMF1S1     5.90     6.20     5.90     6.00   0.00     15        28900        0.173
ICBSONALI1     6.10     6.10     6.00     6.00   0.00      9        18200        0.110
IFIC1STMF      4.90     5.00     4.90     4.90  -2.00     23       267693        1.318
IFILISLMF1     6.80     6.90     6.80     6.80   1.49     47       205245        1.408
LRGLOBMF1      6.70     6.70     6.60     6.70   0.00     17        79650        0.531
MBL1STMF       7.10     7.10     7.00     7.10   0.00      4         8050        0.057
NCCBLMF1       7.00     7.00     6.90     6.90  -1.43      2        12000        0.083
NLI1STMF      12.70    12.70    12.60    12.70  -0.78      2        12600        0.160
PF1STMF        4.80     4.90     4.80     4.80   0.00     25       106200        0.510
PHPMF1         4.70     4.80     4.70     4.70   0.00     54       382904        1.800
POPULAR1MF     4.70     4.70     4.70     4.70   0.00     59       374500        1.760
PRIME1ICBA     5.10     5.20     5.10     5.10   0.00     18       111000        0.570
RELIANCE1      8.10     8.20     8.10     8.20   0.00      6        14500        0.119
SEBL1STMF     11.50    11.90    11.50    11.90  -0.83     10        50400        0.600
SEMLLECMF      9.70    10.20     9.60     9.90   1.02     13        15612        0.155
TRUSTB1MF      5.20     5.20     5.10     5.20   0.00     94      1390651        7.132
VAMLBDMF1     10.10    10.10    10.00    10.10   1.00     50       144900        1.459
VAMLRBBF       8.70     8.70     8.40     8.50  -1.16    111        73180        0.625
                                                      ------    ---------    ---------
                                                        1269      6756347       43.789

MUTUAL FUNDs traded in Public Market              =   34



CORPORATE BONDs
---------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

IBBLPBOND    981.50   982.00   981.50   981.50  -0.20      6           29        0.028
                                                      ------    ---------    ---------
                                                           6           29        0.028

